,titles,descriptions,links,site_name
0, Stop5GNL pleit bij rechter voor stop op uitrol 5G: 'Veiligheid niet bewezen' , Stop5GNL pleit bij rechter voor stop op uitrol 5G: 'Veiligheid niet bewezen' ,https://www.nu.nl/tech/6048978/stop5gnl-pleit-bij-rechter-voor-stop-op-uitrol-5g-veiligheid-niet-bewezen.html,www.nu.nl
1, RIVM meldt kleinste aantal doden (26) sinds week na gedeeltelijke lockdown , RIVM meldt kleinste aantal doden (26) sinds week na gedeeltelijke lockdown ,https://www.nu.nl/coronavirus/6048990/rivm-meldt-kleinste-aantal-doden-26-sinds-week-na-gedeeltelijke-lockdown.html,www.nu.nl
2, Cambuur-trainer De Jong: 'Hoop nog steeds dat er geen rechtszaak komt' , Cambuur-trainer De Jong: 'Hoop nog steeds dat er geen rechtszaak komt' ,https://www.nu.nl/voetbal/6049001/cambuur-trainer-de-jong-hoop-nog-steeds-dat-er-geen-rechtszaak-komt.html,www.nu.nl
3, 'Proces tegen laatste verdachten van Love Parade-ramp definitief gestaakt' , 'Proces tegen laatste verdachten van Love Parade-ramp definitief gestaakt' ,https://www.nu.nl/buitenland/6048983/proces-tegen-laatste-verdachten-van-love-parade-ramp-definitief-gestaakt.html,www.nu.nl
4," We bestellen online vooral veel scharen, skeelers en springkussens "," We bestellen online vooral veel scharen, skeelers en springkussens ",https://www.nu.nl/economie/6048984/we-bestellen-online-vooral-veel-scharen-skeelers-en-springkussens.html,www.nu.nl
5, Internationaal postverkeer komt in gevaar door coronavliegstop , Internationaal postverkeer komt in gevaar door coronavliegstop ,https://www.nu.nl/economie/6048992/internationaal-postverkeer-komt-in-gevaar-door-coronavliegstop.html,www.nu.nl
6, Nieuwe maatregelen op NS-stations: houd vier treden en vijf tegels afstand , Nieuwe maatregelen op NS-stations: houd vier treden en vijf tegels afstand ,https://www.nu.nl/binnenland/6048980/nieuwe-maatregelen-op-ns-stations-houd-vier-treden-en-vijf-tegels-afstand.html,www.nu.nl
7, Britse editie Love Island dit jaar niet meer op tv wegens uitstel opnames , Britse editie Love Island dit jaar niet meer op tv wegens uitstel opnames ,https://www.nu.nl/film/6048981/britse-editie-love-island-dit-jaar-niet-meer-op-tv-wegens-uitstel-opnames.html,www.nu.nl
8, Koeman blijft dag langer in ziekenhuis: 'Maar het gaat goed met hem' , Koeman blijft dag langer in ziekenhuis: 'Maar het gaat goed met hem' ,https://www.nu.nl/voetbal/6048987/koeman-blijft-dag-langer-in-ziekenhuis-maar-het-gaat-goed-met-hem.html,www.nu.nl
9,Video Ree bevrijd uit hek op station bij Thialf in Heerenveen ,Video Ree bevrijd uit hek op station bij Thialf in Heerenveen ,https://www.nu.nl/dieren/6048985/ree-bevrijd-uit-hek-op-station-bij-thialf-in-heerenveen.html,www.nu.nl
10, 'Nissan wil inkrimpen en zet Europese activiteiten op laag pitje' , 'Nissan wil inkrimpen en zet Europese activiteiten op laag pitje' ,https://www.nu.nl/auto/6048973/nissan-wil-inkrimpen-en-zet-europese-activiteiten-op-laag-pitje.html,www.nu.nl
11, Leeg Olympisch Stadion decor voor Nationale Sportherdenking , Leeg Olympisch Stadion decor voor Nationale Sportherdenking ,https://www.nu.nl/sport-overig/6048977/leeg-olympisch-stadion-decor-voor-nationale-sportherdenking.html,www.nu.nl
12,Video Bekende modellen lopen over online catwalk voor coronavirus ,Video Bekende modellen lopen over online catwalk voor coronavirus ,https://www.nu.nl/entertainment/6048979/bekende-modellen-lopen-over-online-catwalk-voor-coronavirus.html,www.nu.nl
13, Belaagd homokoppel benaderd door 'journalist' die hun adres wilde , Belaagd homokoppel benaderd door 'journalist' die hun adres wilde ,https://www.nu.nl/binnenland/6048939/belaagd-homokoppel-benaderd-door-journalist-die-hun-adres-wilde.html,www.nu.nl
14, Boy George miste historisch benefiet Live Aid wegens 'chemische bezigheden' , Boy George miste historisch benefiet Live Aid wegens 'chemische bezigheden' ,https://www.nu.nl/achterklap/6048962/boy-george-miste-historisch-benefiet-live-aid-wegens-chemische-bezigheden.html,www.nu.nl
15, Oproep: Heb je een creatieve oplossing voor je bruiloft? Laat het ons weten , Oproep: Heb je een creatieve oplossing voor je bruiloft? Laat het ons weten ,https://www.nu.nl/nujij/6048961/oproep-heb-je-een-creatieve-oplossing-voor-je-bruiloft-laat-het-ons-weten.html,www.nu.nl
16,Video Korps Mariniers speelt taptoe bij oorlogsmonumenten in Rotterdam ,Video Korps Mariniers speelt taptoe bij oorlogsmonumenten in Rotterdam ,https://www.nu.nl/algemeen/6048959/korps-mariniers-speelt-taptoe-bij-oorlogsmonumenten-in-rotterdam.html,www.nu.nl
17,"In beeld Willem II, PEC, FC Twente en PSV trainen na zeven weken weer ","In beeld Willem II, PEC, FC Twente en PSV trainen na zeven weken weer ",https://www.nu.nl/voetbal/6048954/willem-ii-pec-fc-twente-en-psv-trainen-na-zeven-weken-weer.html,www.nu.nl
18," Explosieven aangetroffen in vluchtauto Weert, twee verdachten vast "," Explosieven aangetroffen in vluchtauto Weert, twee verdachten vast ",https://www.nu.nl/binnenland/6048952/explosieven-aangetroffen-in-vluchtauto-weert-twee-verdachten-vast.html,www.nu.nl
19, Ruim 600 pk sterke SUV van Mercedes kost net geen 2 ton , Ruim 600 pk sterke SUV van Mercedes kost net geen 2 ton ,https://www.nu.nl/auto/6048944/ruim-600-pk-sterke-suv-van-mercedes-kost-net-geen-2-ton.html,www.nu.nl
20,Video Albon wint virtuele Grand Prix van Brazilië ,Video Albon wint virtuele Grand Prix van Brazilië ,https://www.nu.nl/sport/6048947/albon-wint-virtuele-grand-prix-van-brazilie.html,www.nu.nl
21," Verdachten explosie Groningen nog steeds vast, onderzoek loopt nog "," Verdachten explosie Groningen nog steeds vast, onderzoek loopt nog ",https://www.nu.nl/algemeen/6048942/verdachten-explosie-groningen-nog-steeds-vast-onderzoek-loopt-nog.html,www.nu.nl
22, Inbreker deed al eerder poging contact te leggen met Eminem , Inbreker deed al eerder poging contact te leggen met Eminem ,https://www.nu.nl/achterklap/6048934/inbreker-deed-al-eerder-poging-contact-te-leggen-met-eminem.html,www.nu.nl
